2025-06-19 19:41:33 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - ['main.py', '--update']
2025-06-19 19:41:33 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Argumento --update detectado, iniciando o script de atualização...
2025-06-19 19:42:04 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 19:42:04 >>> Nenhuma janela de atualização encontrada.
2025-06-19 19:42:06 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\updater.robot executado com sucesso.
2025-06-19 19:42:46 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - ['main.py', '--main']
2025-06-19 19:42:46 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Argumento --main detectado, iniciando o script principal...
2025-06-19 20:46:11 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:11 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:11 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:11 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:11 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:11 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:11 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:11 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:11 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:11 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:11 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:11 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:11 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:12 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:12 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:12 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:12 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:12 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:12 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:12 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:12 >>> Controle administrativo/Login de usuário True
